epoch,accuracy,auc,fn,fp,loss,precision,recall,tn,tp,val_accuracy,val_auc,val_fn,val_fp,val_loss,val_precision,val_recall,val_tn,val_tp
0,0.81640625,0.6800718307495117,13.0,504.0,1.1388264894485474,0.8197425007820129,0.994360089302063,7.0,2292.0,0.8141891956329346,0.8022538423538208,0.0,110.0,0.09846083074808121,0.8141891956329346,1.0,0.0,482.0
1,0.8185369372367859,0.7320875525474548,0.0,511.0,0.0654899924993515,0.8185369372367859,1.0,0.0,2305.0,0.8141891956329346,0.808930516242981,0.0,110.0,0.05584857240319252,0.8141891956329346,1.0,0.0,482.0
2,0.8185369372367859,0.74428391456604,0.0,511.0,0.05062047019600868,0.8185369372367859,1.0,0.0,2305.0,0.8141891956329346,0.8162957429885864,0.0,110.0,0.05053962394595146,0.8141891956329346,1.0,0.0,482.0
3,0.8185369372367859,0.7284835577011108,0.0,511.0,0.04976591095328331,0.8185369372367859,1.0,0.0,2305.0,0.8141891956329346,0.7912579774856567,0.0,110.0,0.05053161457180977,0.8141891956329346,1.0,0.0,482.0
4,0.8185369372367859,0.732043445110321,0.0,511.0,0.048836518079042435,0.8185369372367859,1.0,0.0,2305.0,0.8141891956329346,0.787702739238739,0.0,110.0,0.048693858087062836,0.8141891956329346,1.0,0.0,482.0
0,0.8167613744735718,0.7022303342819214,10.0,506.0,1.0320048332214355,0.8193502426147461,0.9956616163253784,5.0,2295.0,0.8141891956329346,0.7967182397842407,0.0,110.0,0.08183131366968155,0.8141891956329346,1.0,0.0,482.0
1,0.8185369372367859,0.7281078696250916,0.0,511.0,0.05852283537387848,0.8185369372367859,1.0,0.0,2305.0,0.8141891956329346,0.8110807538032532,0.0,110.0,0.05206756293773651,0.8141891956329346,1.0,0.0,482.0
2,0.8185369372367859,0.7338216304779053,0.0,511.0,0.05007046461105347,0.8185369372367859,1.0,0.0,2305.0,0.8141891956329346,0.803215742111206,0.0,110.0,0.048805754631757736,0.8141891956329346,1.0,0.0,482.0
3,0.8185369372367859,0.7425035238265991,0.0,511.0,0.04904709756374359,0.8185369372367859,1.0,0.0,2305.0,0.8141891956329346,0.8069879412651062,0.0,110.0,0.05112781003117561,0.8141891956329346,1.0,0.0,482.0
4,0.8185369372367859,0.7407125234603882,0.0,511.0,0.04851248115301132,0.8185369372367859,1.0,0.0,2305.0,0.8141891956329346,0.7951810359954834,0.0,110.0,0.04742772877216339,0.8141891956329346,1.0,0.0,482.0
5,0.8185369372367859,0.7279189825057983,0.0,511.0,0.04898437485098839,0.8185369372367859,1.0,0.0,2305.0,0.8141891956329346,0.7935024499893188,0.0,110.0,0.04902568459510803,0.8141891956329346,1.0,0.0,482.0
6,0.8185369372367859,0.7106562852859497,0.0,511.0,0.04865819588303566,0.8185369372367859,1.0,0.0,2305.0,0.8141891956329346,0.800424337387085,0.0,110.0,0.04643752798438072,0.8141891956329346,1.0,0.0,482.0
7,0.8185369372367859,0.7346044182777405,0.0,511.0,0.047850605100393295,0.8185369372367859,1.0,0.0,2305.0,0.8141891956329346,0.8010939359664917,0.0,110.0,0.046729087829589844,0.8141891956329346,1.0,0.0,482.0
8,0.8185369372367859,0.7293147444725037,0.0,511.0,0.048404183238744736,0.8185369372367859,1.0,0.0,2305.0,0.8141891956329346,0.7854111790657043,0.0,110.0,0.04620479419827461,0.8141891956329346,1.0,0.0,482.0
9,0.8185369372367859,0.7122179865837097,0.0,511.0,0.04831279441714287,0.8185369372367859,1.0,0.0,2305.0,0.8141891956329346,0.7983213663101196,0.0,110.0,0.04837329313158989,0.8141891956329346,1.0,0.0,482.0
10,0.8185369372367859,0.7325031757354736,0.0,511.0,0.04867715761065483,0.8185369372367859,1.0,0.0,2305.0,0.8141891956329346,0.7936722040176392,0.0,110.0,0.04947112873196602,0.8141891956329346,1.0,0.0,482.0
11,0.8185369372367859,0.7423091530799866,0.0,511.0,0.04802539199590683,0.8185369372367859,1.0,0.0,2305.0,0.8141891956329346,0.8169559240341187,0.0,110.0,0.04608478024601936,0.8141891956329346,1.0,0.0,482.0
12,0.8185369372367859,0.7355650663375854,0.0,511.0,0.04824211448431015,0.8185369372367859,1.0,0.0,2305.0,0.8141891956329346,0.80165034532547,0.0,110.0,0.048210080713033676,0.8141891956329346,1.0,0.0,482.0
13,0.8185369372367859,0.729863166809082,0.0,511.0,0.047875918447971344,0.8185369372367859,1.0,0.0,2305.0,0.8141891956329346,0.7755185961723328,0.0,110.0,0.04712449386715889,0.8141891956329346,1.0,0.0,482.0
14,0.8185369372367859,0.7264710068702698,0.0,511.0,0.04745006188750267,0.8185369372367859,1.0,0.0,2305.0,0.8141891956329346,0.8133440017700195,0.0,110.0,0.04612896963953972,0.8141891956329346,1.0,0.0,482.0
15,0.8185369372367859,0.7276841998100281,0.0,511.0,0.047817375510931015,0.8185369372367859,1.0,0.0,2305.0,0.8141891956329346,0.8097887635231018,0.0,110.0,0.046482328325510025,0.8141891956329346,1.0,0.0,482.0
16,0.8185369372367859,0.7211825847625732,0.0,511.0,0.04806540906429291,0.8185369372367859,1.0,0.0,2305.0,0.8141891956329346,0.807553768157959,0.0,110.0,0.04699944332242012,0.8141891956329346,1.0,0.0,482.0
17,0.8185369372367859,0.7364535331726074,0.0,511.0,0.04711901769042015,0.8185369372367859,1.0,0.0,2305.0,0.8141891956329346,0.7991417646408081,0.0,110.0,0.045726384967565536,0.8141891956329346,1.0,0.0,482.0
18,0.8185369372367859,0.7393252849578857,0.0,511.0,0.04660520702600479,0.8185369372367859,1.0,0.0,2305.0,0.8141891956329346,0.8173425197601318,0.0,110.0,0.045892100781202316,0.8141891956329346,1.0,0.0,482.0
19,0.8185369372367859,0.7403513193130493,0.0,511.0,0.04725963994860649,0.8185369372367859,1.0,0.0,2305.0,0.8141891956329346,0.82264244556427,0.0,110.0,0.045046117156744,0.8141891956329346,1.0,0.0,482.0
20,0.8185369372367859,0.7396852970123291,0.0,511.0,0.04743757098913193,0.8185369372367859,1.0,0.0,2305.0,0.8141891956329346,0.8146359920501709,0.0,110.0,0.046258315443992615,0.8141891956329346,1.0,0.0,482.0
